,user_id,brand_id,avg_score
0,32620,6376,8.6
1,39313,6315,7.4
2,38154,6627,6.4
3,41154,6461,7.2
4,35459,6601,10.0
5,41154,6395,7.2
6,23590,6375,8.0
7,33536,6447,8.2
8,23633,6601,8.8
9,9074,6601,8.4
10,10079,6654,9.0
11,2810,6606,6.0
12,2810,6453,7.0
13,13557,2631,10.0
14,1592,2710,7.0
15,2302,2880,6.4
16,24674,6591,8.6
17,38964,6511,8.8
18,34405,6705,5.0
19,3883,6322,8.0
20,32641,6311,6.0
21,25958,6508,9.0
22,2810,6670,7.8
23,36288,6545,9.4
24,29782,6662,9.2
25,2856,6471,7.6
26,36288,6411,8.8
27,33073,6567,1.4
28,23187,6699,6.4
29,26054,6567,1.6
30,15939,2140,7.4
31,36676,7363,5.0
32,6844,14204,8.0
33,13057,6439,8.0
34,37848,6284,8.2
35,37848,6336,8.2
36,13359,6354,8.8
37,25950,6407,8.4
38,31998,6442,6.4
39,18480,6652,7.0
40,32530,6630,7.0
41,26528,6599,10.0
42,5153,6405,4.0
43,34825,6599,10.0
44,38609,6299,8.8
45,38609,6298,9.0
46,41154,6283,6.8
47,35048,6161,8.0
48,17383,1730,9.8
49,32350,6424,7.0
50,36288,6364,8.4
51,34662,2145,7.4
52,7736,2075,6.0
53,14520,2080,8.0
54,33200,2065,7.2
55,14520,2079,8.0
56,33200,2112,7.4
57,14520,2077,8.0
58,31565,2166,7.2
59,33200,2045,7.2
60,14520,2073,8.0
61,33200,2047,7.2
62,14520,2177,7.8
63,38493,9176,9.0
64,34493,9212,8.0
65,9203,6792,8.2
66,6135,7056,9.6
67,3061,2513,7.6
68,1592,2742,7.8
69,1592,2442,10.0
70,17136,2615,8.2
71,1592,2612,10.0
72,8551,2540,9.6
73,1592,2964,10.0
74,1592,2500,6.0
75,1592,2545,10.0
76,2302,2959,8.8
77,35332,2611,6.8
78,35332,2528,8.6
79,40544,2310,7.8
80,23248,3100,6.8
81,21899,1403,6.6
82,18039,10844,1.0
83,5160,10844,2.8
84,12559,10844,10.0
85,17520,2410,7.6
86,4114,3014,7.2
87,9164,2610,9.4
88,26193,8159,7.4
89,8616,8347,5.8
90,8616,7476,8.2
91,8616,7357,7.6
92,8616,8314,7.4
93,8616,8056,7.8
94,8616,7564,8.6
95,30174,8433,6.8
96,30174,8331,8.8
97,36676,7396,5.0
98,28736,7668,9.0
99,27390,5722,8.4
100,27390,5823,6.8
101,10839,5685,7.0
102,33200,2040,7.2
103,36409,2030,7.8
104,14520,2072,8.0
105,14520,2069,7.8
106,36409,2041,7.4
107,14520,2066,8.0
108,33200,2037,7.4
109,33200,2030,7.4
110,10363,2107,7.6
111,33200,2149,7.4
112,33200,2025,7.0
113,13218,2047,7.0
114,14671,2144,9.2
115,35882,2116,8.0
116,14515,2071,8.0
117,14520,2109,8.0
118,14520,2064,8.0
119,14515,2092,8.0
120,14520,2063,8.0
121,14520,2058,8.0
122,14520,2059,8.0
123,15939,2098,8.0
124,14520,2108,8.0
125,14520,2106,8.0
126,15939,2085,8.0
127,15939,2078,8.2
128,27236,2155,8.2
129,14515,2150,8.0
130,15939,2124,8.2
131,10136,2187,7.2
132,7402,2175,9.4
133,14515,2030,7.8
134,34733,9901,8.2
135,10445,9901,8.8
136,14526,9901,8.0
137,14515,2194,8.0
138,3601,2187,6.2
139,15939,2173,7.4
140,37550,2110,8.4
141,21730,2097,8.4
142,23600,2158,7.8
143,23600,2172,7.4
144,7402,2118,10.0
145,22332,2120,8.8
146,33340,2144,7.2
147,27236,2107,1.4
148,36288,13871,4.8
149,7986,13535,6.4
150,7986,13723,1.0
151,17692,12866,9.0
152,37698,8973,7.8
153,10783,7668,8.6
154,39608,7833,7.6
155,37642,7267,9.0
156,23427,7362,7.2
157,32717,7533,8.8
158,26193,8207,6.6
159,39795,7362,7.8
160,6083,8566,7.2
161,18939,7652,5.0
162,34437,7947,8.0
163,37642,7722,8.0
164,37642,8510,8.2
165,21602,8036,8.4
166,34437,8036,7.0
167,1196,11364,8.4
168,18931,10097,6.4
169,18686,10391,8.0
170,34437,8159,7.6
171,7986,14122,6.2
172,7986,13914,5.4
173,7986,13522,5.2
174,32409,14395,8.2
175,21639,13597,8.2
176,8249,13737,7.6
177,8249,13869,8.0
178,34890,13532,1.0
179,14176,13779,8.8
180,30402,13703,8.6
181,16229,13593,8.0
182,27743,13493,8.2
183,24578,9979,7.4
184,20490,9779,7.2
185,15038,956,9.6
186,35812,1911,9.0
187,29952,7208,8.0
188,8616,9320,8.0
189,40114,9218,9.0
190,8616,9218,5.4
191,30838,9331,9.4
192,6588,9331,9.4
193,6588,9239,8.6
194,25364,9242,7.8
195,25364,9093,6.0
196,25364,9098,6.6
197,23242,9257,9.4
198,36942,9184,10.0
199,7705,9347,10.0
200,23125,9217,7.6
201,11971,28,7.4
202,1862,3476,6.4
203,20867,3199,7.0
204,34808,7903,7.0
205,29527,8240,10.0
206,4661,7741,9.6
207,23510,8266,9.4
208,35477,8283,10.0
209,31745,7621,7.6
210,9548,8348,2.4
211,2861,8569,8.2
212,5726,8336,7.6
213,2625,7360,4.8
214,20853,7404,7.2
215,30174,7257,6.8
216,30174,8443,8.0
217,30174,7222,9.4
218,11071,7423,9.0
219,10988,7423,7.6
220,10988,7423,7.6
221,15329,7216,8.2
222,23615,8479,9.4
223,4979,8569,8.4
224,36878,7713,8.8
225,39795,8444,7.8
226,39795,7671,7.6
227,24959,7364,5.0
228,38776,5970,9.0
229,38776,5960,8.4
230,38776,6217,7.2
231,14419,6185,8.0
232,258,6185,9.0
233,1465,5967,8.8
234,39443,6185,9.4
235,472,1431,7.6
236,34967,12732,7.2
237,37906,12099,8.6
238,4493,12094,7.2
239,20933,13870,7.4
240,39982,5960,8.4
241,39982,6121,7.8
242,14426,5911,8.0
243,7261,5911,7.4
244,30099,5911,8.0
245,27796,6129,8.2
246,3932,6188,6.4
247,3932,6129,9.8
248,3932,5944,9.4
249,39391,6061,8.0
250,39391,6189,8.0
251,35048,6121,8.0
252,13361,6047,8.6
253,1655,6199,8.6
254,37705,6161,7.0
255,21243,6112,7.0
256,20933,14437,6.8
257,21720,6185,8.0
258,8318,6185,8.4
259,14426,5970,8.0
260,33678,6222,8.0
261,33678,5970,8.0
262,21262,5912,10.0
